TSEN34	-1378.973808
FAM127B	-1384.677338
NR2F2	-1390.420917
CKAP4	-1396.176579
CLEC2D	-1401.968985
WWTR1	-1407.777697
ANKRD44	-1413.614021
SH3D19	-1419.476351
CDC42BPB	-1425.352661
PRSS23	-1431.256505
FLI1	-1437.175298
ACTN1	-1443.131255
DEF6	-1449.104023
IL2RB	-1455.109780
CECR1	-1461.134781
CAPN2	-1467.226196
P4HA2	-1473.334226
PIM2	-1479.452438
PTK2B	-1485.591361
ENAH	-1491.763818
PTK2	-1497.960415
MDM4	-1504.171521
FAM127A	-1510.428647
TMEM51	-1516.717647
DCBLD2	-1523.023959
ARL11	-1529.343214
TIFA	-1535.686644
C16orf54	-1542.056156
TOM1L1	-1548.456648
LAMB2	-1554.872564
KDELR3	-1561.328755
CTDSPL	-1567.804168
RAI14	-1574.297643
ANXA2	-1580.810352
IL2RA	-1587.338544
NUP210	-1593.886285
VAV1	-1600.458756
SMAP2	-1607.046704
CTNNA1	-1613.659069
ELF1	-1620.300011
FCER2	-1626.965697
LAPTM4A	-1633.662202
GPR183	-1640.376549
PLK2	-1647.104455
DSTN	-1653.903631
TNFRSF8	-1660.717683
APP	-1667.572033
PIK3AP1	-1674.451060
IRF8	-1681.361318
SLA	-1688.285253
STAC3	-1695.264466
PTPRF	-1702.262766
RND3	-1709.275863
PPP2R3A	-1716.339009
LCP1	-1723.557144
LIMD2	-1730.800888
ITGB5	-1738.077900
GPSM3	-1745.370596
RIN2	-1752.698517
PIK3R5	-1760.053516
CNN3	-1767.448128
PRKCB	-1774.859322
LAPTM4B	-1782.319649
SOWAHC	-1789.806637
GPX8	-1797.327059
CCDC69	-1804.861792
CD300A	-1812.414173
GIPC1	-1819.995522
HCK	-1827.599552
LMNA	-1835.232389
ZBTB32	-1842.900744
ICAM2	-1850.592010
MYOF	-1858.333995
OSM	-1866.115762
AKNA	-1873.980664
KIF21B	-1881.869163
TMC8	-1889.783493
SP140	-1897.723788
SDC4	-1905.700461
TPM1	-1913.717390
PLS3	-1921.755741
BLK	-1929.818610
ALOX5AP	-1937.919684
HSH2D	-1946.043791
SNX7	-1954.189357
PARVA	-1962.353322
IRF4	-1970.534234
LST1	-1978.804705
APOBEC3H	-1987.188069
PLEKHA1	-1995.600710
RASSF5	-2004.047623
KCNAB2	-2012.536921
POU2AF1	-2021.075073
SEPT6	-2029.675938
CD79A	-2038.304703
DOCK8	-2046.966718
FAM78A	-2055.663663
RBFOX2	-2064.392106
TNFRSF12A	-2073.138600
ITGB7	-2081.901823
GPR18	-2090.697263
EVI2B	-2099.574516
MANBAL	-2108.482144
TSPAN6	-2117.424436
PARP15	-2126.387895
KBTBD8	-2135.452426
ANKLE1	-2144.557234
MYB	-2153.702397
CD19	-2162.902715
CSK	-2172.178014
GFI1	-2181.477410
SELPLG	-2190.876600
RASGRP2	-2200.327835
CXorf65	-2209.812521
PTPN22	-2219.324828
YAP1	-2228.874897
ARHGAP25	-2238.547030
ERRFI1	-2248.244527
FMNL1	-2257.969506
DENND1C	-2267.728493
HCST	-2277.529989
GCSAM	-2287.373273
WIPF1	-2297.270843
PPIC	-2307.216216
DOK3	-2317.293745
LSP1	-2327.418279
BIN2	-2337.630910
TLR10	-2347.896196
NKG7	-2358.215519
CCR7	-2368.561098
CD84	-2378.957722
LCP2	-2389.385849
IGHM	-2399.831967
SAMSN1	-2410.471513
WASL	-2421.144623
PPP1R16B	-2431.842933
FUT7	-2442.562715
LAT2	-2453.315421
CYR61	-2464.168310
IL16	-2475.066598
MYO1F	-2486.036053
GNA11	-2497.041036
MZB1	-2508.083609
CD52	-2519.156903
GNG12	-2530.286181
CSF2RB	-2541.510833
GPR65	-2552.761844
ELMO1	-2564.110587
SH2D3C	-2575.562168
HMHA1	-2587.065982
FAM129B	-2598.612050
CLECL1	-2610.253737
IL21R	-2622.026071
MAP4K1	-2633.888996
RHOH	-2645.813622
LYL1	-2657.768705
SEPT1	-2669.826881
ARHGAP9	-2682.046910
INPP5D	-2694.357201
CD86	-2706.827638
CD38	-2719.422149
CTTN	-2732.239755
FERMT3	-2745.212587
TESPA1	-2758.241295
TJP1	-2771.524658
HVCN1	-2784.963286
PLEK	-2798.448938
WDFY4	-2812.157935
S1PR4	-2825.947886
HCLS1	-2839.888930
LAPTM5	-2853.979327
NLRC3	-2868.134787
LY86	-2882.361403
ITGAL	-2896.688020
LAIR1	-2911.103420
NCKAP1	-2925.974585
TBC1D10C	-2940.916760
RCSD1	-2955.911145
LRMP	-2971.000948
BTK	-2986.242918
CYTIP	-3001.739226
PIK3CG	-3017.301718
CD37	-3032.907577
PTPRCAP	-3048.685895
NCF4	-3065.137194
CXorf21	-3081.915293
GMFG	-3098.797826
DOCK2	-3115.831477
CD48	-3133.212684
MYO1G	-3150.930048
TNFAIP8L2	-3169.134855
PTPRC	-3187.551989
KLHL6	-3206.718972
TRAF3IP3	-3226.176155
MFNG	-3245.816438
P2RY8	-3265.824475
ARHGAP30	-3285.945660
RASAL3	-3306.147724
SASH3	-3326.921055
PTPN7	-3348.296043
NCKAP1L	-3369.993588
ACAP1	-3392.508543
ARHGAP15	-3416.096383
CD53	-3440.399413
IKZF1	-3464.798419
